puuid,tier,tier_band,churned,total_games,games_trend,games_per_active_day,net_wins,days_since_last,win_rate,win_rate_trend,avg_kda,avg_duration_min,longest_loss_streak,unique_champions,top_champion_share,role_focus,primary_role,night_share,account_level,time_dead_share,team_death_leader_share,game_death_leader_share,avg_kill_participation,avg_team_damage_share,avg_multikills,avg_frustration_pings,first_blood_rate,surrender_loss_share,avg_loss_duration_min
25owhyvpLejpwZjTzEvhMcB0ZDqxnwsyzNp_xRnRxFmbALzxLyjEsqmO4gDkzdrNz_cDxDH_JLR63A,EMERALD,mid,0,194,42,4.73,-6,4,0.4845,0.0178,2.383,30.7,5,22,0.552,0.366,TOP,0.299,578,0.1237,0.2784,0.1495,0.4121,0.2645,0.974,4.778,0.0773,0.0773,30.43
2EMduwRp5W6zn6oKR6rdGw8PsEG4KAwFl1wo6aWQvHCdlenzYig1_TWlbYWHsTO54R74us8MgPn5dA,PLATINUM,mid,0,40,-6,1.67,-6,4,0.425,-0.2276,1.67,28.89,4,15,0.2,0.7,TOP,0.0,692,0.1481,0.35,0.225,0.3648,0.2676,0.625,27.35,0.15,0.175,28.02
2SRXxzVtazhdopA3Fc0vO3ZGPwWgA_uaTctecVcp9ZEv7Ay9H6qhD1_uQbtk8K9RnYEgY6r9ZQWmQg,DIAMOND,high,0,199,169,3.9,-17,2,0.4573,0.062,3.643,28.66,11,20,0.558,0.94,JUNGLE,0.025,614,0.1044,0.1156,0.0754,0.4795,0.1844,0.94,4.477,0.0452,0.0653,28.79
2VEe7_Oie0ZDzIrMeBlfEVoSrPE4yVNUunqTfbbaxHc_U9H98CYUGsfYtl181TX1t2ya1H96tqMCng,CHALLENGER,high,0,276,168,4.12,52,14,0.5942,0.1632,6.231,27.21,10,42,0.123,0.859,JUNGLE,0.018,614,0.0707,0.0833,0.029,0.5579,0.2114,0.67,22.804,0.0652,0.1341,27.4
2j-2WuPeva8zx8Koid02hsj7xCTvXL0xHmwmrqAXu8H4dysbyGT6Fn2rkU-TrRpGAzwAgHseu_XGug,MASTER,high,0,204,204,6.8,2,0,0.5049,0.0,3.266,28.38,7,39,0.167,0.775,MIDDLE,0.191,744,0.1081,0.2696,0.1373,0.4467,0.2176,0.52,15.642,0.0931,0.098,28.8
2n4Kk472scFB7yYtXDR1dEnKQ1bRjxRyQRw-hcodzYJ5MJc0eMQNqOS6koiEhKQNdgcNZu0CA2JqmQ,GOLD,mid,0,194,92,3.03,-4,1,0.4897,-0.1071,3.081,30.65,6,26,0.201,0.459,TOP,0.036,454,0.1176,0.3299,0.2216,0.4443,0.1923,0.634,13.268,0.1495,0.1289,30.0
2nGoJE1X0tplEGxXx-ntPtz5LuHBaEII1i4R83LBQNmmT0KOGvN2z_08-D828yEbUFGSlxULc50qnA,PLATINUM,mid,0,159,25,3.24,-3,0,0.4906,-0.0292,3.141,30.05,8,15,0.836,0.862,MIDDLE,0.013,893,0.1016,0.1887,0.0818,0.4049,0.2304,0.692,10.465,0.0126,0.0377,30.15
2qpBb1-GTazlGCIyKozft3ILyw1TzzMt8Tn9YdOUkx2xmB-3M31Syfjlko0KWq4FisYcfdAM_8Y9XA,CHALLENGER,high,0,196,196,9.33,50,12,0.6276,0.0,4.634,27.22,5,45,0.107,0.75,MIDDLE,0.026,209,0.0924,0.2449,0.0918,0.5229,0.2694,0.929,33.071,0.1173,0.0969,28.03
2sfDaJdykvOCq9xa9i_BupsljwSk5Y90vUxJa2Mndf8fNYzd1OXIgx_Babc1WSMwM1e2XjC88vFTAQ,CHALLENGER,high,0,286,256,5.3,10,0,0.5175,0.0536,4.41,27.36,6,46,0.105,0.713,MIDDLE,0.283,965,0.0813,0.1713,0.0909,0.4681,0.2447,0.51,12.755,0.1049,0.1154,27.55
2siNCxrhsB5NshEE7LEDkSRrDdi5qRmL2xet8M_mjEd8UmGuHHqiKx0JX7hhIZexVxrOqovlvAMdUQ,IRON,low,0,87,-9,2.35,-9,17,0.4483,0.024,3.37,32.87,9,5,0.414,1.0,BOTTOM,0.0,80,0.0936,0.1494,0.069,0.4334,0.1716,0.609,7.529,0.1264,0.092,32.65
2tpVD-MG7IA5ENKikVWBDAEgeYaxsbyv0zMJ7ZYFr7rlGG8XyLPFU1ZXia5qIwg7DjJzj1U30yZdsw,DIAMOND,high,0,96,94,3.43,34,1,0.6771,0.6842,6.039,29.09,3,10,0.646,0.958,UTILITY,0.031,248,0.0702,0.1562,0.0417,0.6406,0.1133,0.135,46.25,0.0833,0.0417,29.16
314MT6HGOd_SSjBfcKmj9Z2G0dx6rmxRk7fwPk9shcKQ6rDLgAruF5wW5Scr67pd5DxbWpqhAS5t1Q,CHALLENGER,high,0,227,139,3.98,25,1,0.5551,0.1247,4.378,26.71,5,33,0.176,0.859,UTILITY,0.044,1509,0.078,0.2731,0.1057,0.5974,0.1206,0.159,16.427,0.0573,0.1366,26.99
32J6RTlx09mgIbIoYIYK2vX9azEnAQNkabB69g95BJks0BVlAXzYSCJZkkwRasmGDNZA7IU0L0m2qw,DIAMOND,high,0,51,33,2.55,7,2,0.5686,0.0159,6.146,28.19,8,14,0.196,0.902,UTILITY,0.216,688,0.0629,0.1765,0.0784,0.5783,0.0888,0.078,24.255,0.0196,0.1765,27.91
