player_id,champion,games,wins,win_rate
PLAYER-0001,Anivia,2,2,1.0
PLAYER-0001,Caitlyn,3,2,0.667
PLAYER-0001,Chogath,1,0,0.0
PLAYER-0001,Diana,9,5,0.556
PLAYER-0001,Ekko,1,1,1.0
PLAYER-0001,Elise,1,0,0.0
PLAYER-0001,FiddleSticks,11,5,0.455
PLAYER-0001,Galio,1,0,0.0
PLAYER-0001,Heimerdinger,1,0,0.0
PLAYER-0001,Lucian,2,1,0.5
PLAYER-0001,MasterYi,6,4,0.667
PLAYER-0001,MissFortune,1,0,0.0
PLAYER-0001,Nautilus,3,2,0.667
PLAYER-0001,Neeko,2,0,0.0
PLAYER-0001,Pantheon,1,0,0.0
PLAYER-0001,Rammus,1,1,1.0
PLAYER-0001,Rengar,1,0,0.0
PLAYER-0001,Swain,4,0,0.0
PLAYER-0001,TahmKench,1,0,0.0
PLAYER-0001,Taric,1,0,0.0
PLAYER-0001,Veigar,3,2,0.667
PLAYER-0001,Velkoz,1,1,1.0
PLAYER-0001,Volibear,1,0,0.0
PLAYER-0001,Warwick,4,1,0.25
PLAYER-0001,Zac,2,0,0.0
PLAYER-0002,Ahri,23,17,0.739
PLAYER-0002,Akali,11,7,0.636
PLAYER-0002,Akshan,1,0,0.0
PLAYER-0002,AurelionSol,4,3,0.75
PLAYER-0002,Aurora,20,13,0.65
PLAYER-0002,Azir,1,0,0.0
PLAYER-0002,Braum,1,0,0.0
PLAYER-0002,Diana,17,9,0.529
PLAYER-0002,Ekko,8,5,0.625
PLAYER-0002,Ezreal,3,2,0.667
PLAYER-0002,Katarina,1,1,1.0
PLAYER-0002,Kayn,4,2,0.5
PLAYER-0002,Kennen,3,1,0.333
PLAYER-0002,Kindred,1,0,0.0
PLAYER-0002,MasterYi,1,0,0.0
PLAYER-0002,Morgana,1,1,1.0
PLAYER-0002,Pantheon,2,1,0.5
PLAYER-0002,Pyke,1,1,1.0
PLAYER-0002,Rakan,1,0,0.0
PLAYER-0002,Riven,19,5,0.263
PLAYER-0002,Samira,2,0,0.0
PLAYER-0002,Sett,5,2,0.4
PLAYER-0002,Shen,1,0,0.0
PLAYER-0002,Sylas,3,0,0.0
PLAYER-0002,Talon,1,1,1.0
PLAYER-0002,Teemo,3,2,0.667
PLAYER-0002,Udyr,1,0,0.0
PLAYER-0002,Yasuo,17,9,0.529
PLAYER-0002,Yone,5,2,0.4
PLAYER-0002,Yuumi,1,0,0.0
PLAYER-0002,Zed,28,16,0.571
PLAYER-0002,Zoe,6,3,0.5
PLAYER-0003,Aphelios,1,1,1.0
PLAYER-0003,Caitlyn,4,3,0.75
PLAYER-0003,Ezreal,1,1,1.0
PLAYER-0003,Jhin,8,3,0.375
PLAYER-0003,Jinx,2,1,0.5
PLAYER-0003,Kaisa,9,7,0.778
PLAYER-0003,Lucian,4,1,0.25
PLAYER-0003,MissFortune,4,1,0.25
PLAYER-0003,Nautilus,1,1,1.0
PLAYER-0003,Orianna,1,0,0.0
PLAYER-0003,Sivir,1,0,0.0
PLAYER-0003,Varus,4,2,0.5
PLAYER-0003,Xayah,1,0,0.0
PLAYER-0003,Ziggs,1,1,1.0
PLAYER-0004,Alistar,1,0,0.0
PLAYER-0004,Illaoi,1,0,0.0
PLAYER-0004,Leona,2,2,1.0
PLAYER-0004,Maokai,2,1,0.5
PLAYER-0004,Milio,1,1,1.0
PLAYER-0004,Nautilus,2,2,1.0
PLAYER-0004,Nilah,1,0,0.0
PLAYER-0004,Rell,1,0,0.0
PLAYER-0004,Sona,5,3,0.6
PLAYER-0004,Soraka,13,8,0.615
PLAYER-0004,Taliyah,3,0,0.0
PLAYER-0004,Taric,2,2,1.0
PLAYER-0004,Thresh,3,2,0.667
PLAYER-0005,Aatrox,1,0,0.0
PLAYER-0005,Ambessa,6,2,0.333
PLAYER-0005,Jax,13,10,0.769
PLAYER-0005,Kayle,49,22,0.449
PLAYER-0005,Khazix,1,0,0.0
PLAYER-0005,Naafiri,1,0,0.0
